#Sample ID	Index.AO	all_data	Latitude	Longitude	Depth	Date.Collection	PlotCreated	Type	Dry.weight.g_g.2017	ResinP.ppm.2017	Soil.pH.water.2017	Soil.pH.CaCl2.2017	pH.water	pH.CaCl2	LOI.per	Total.C.per	Total.N.per	Total.P.mg_kg	DOC_mg.C_kg	DON_mg.N_kg	DOC_DON	NH4.mg.N_kg	NO3.mg.N_kg	TDN.mg.N_kg	DIN.mg.N_kg	ResinP.mg_kg	Meh.Al.mg.Al_kg	Meh.Ca.mg.Ca_kg	Meh.Fe.mg.Fe_kg	Meh.K.mg.K_kg	Meh.Mg.mg.Mg_kg	Meh.Mn.mg.Mn_kg	Meh.P.mg.P_kg	Meh.Zn.mg.Zn_kg	Ca_Mg	N.E_TP.mg_kg	N.E.Pi.mg_kg	NE.Po.mg_kg	C.N	C.P	N.P	C.Po	C.N.atomic	C.P.atomic	N.P.atomic	C.Po.atomic	TEB	ECEC	BS	FumRel.C	FumRel.N	FumRel.P	MUP	bisMUP	BG	NAG	SULF	MUP.1	bisMUP.1	MUP.2	bisMUP.2	PME.PDE	PME.PDE.1	MUP.SMBC.corr	bisMUP.SMBcorr	BG.SMB	NAG.SMB	SULF.SMB	BG.NA	BG.AP	NA.AP	MUP.TC	bisMUP.TC	BG.TC	NAG.TC	SULF.TC	SMB.C	SMB.N	SMB.P	SMB.C.N	SMB.C.P	SM.N.P	SMB.C.N.1	SMB.C.P.1	SM.N.P.1	Ox.Al	Ox.Fe	Ox.Mn	Ox.P	Ox.Al.1	Ox.Fe.1	Ox.Mn.1	Ox.P.1	DPS	Date.Soil.Measurements	MAT	MDR	MAXT	MINT	MAP	PSEA	Aridity_Index	NPP_2008_2019
CJ_0102	657	yes	9.22731	-79.38988202	0-10 cm	09-Nov-17	CerroJefe	transect	0.56	0.05	5.06	3.98	5.62	4.82	17.97688252	5.37	0.28	77.68690009	155.6521066	13.4763011	11.6	10.66060503	0.043318401	24.18022453	10.70392343	0.051747478	748.2	106.8	1754.4	18.5	38.7	5.5	0	0.8	1.7	40.6	13.5	27.2	19.3	691.8	35.9	1977.4	22.5	1784	79.5	5099.5	0.9	18.7	5	145.3	26.9	2.6	156.6	30.2	2.4	3.2	1.3	65.5	6.5	0.2	0.3	5.2	10	485	93.6	7.5	10	4.1	0.75	0.02	0.02	291.4	56.2	4.5	6	2.5	323	60	6	5.4	49.9	9.2	6.3	128.8	20.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Dec-10	21.6	7.4	27	16.7	3533	61	2.71	0.66
CJ_0103	658	yes	9.227314	-79.39079204	0-10 cm	09-Nov-17	CerroJefe	transect	0.52	0.06	4.64	3.66	4.67	3.93	18.70542505	4.73	0.25	71.49907047	208.3933482	18.89279086	11	1.207065072	0.138544054	20.23839998	1.345609126	0.039767752	817.8	118.8	506.4	19.3	29.1	7	0	0.7	2.5	38.3	10.5	27.8	19.1	661.5	34.7	1698.8	22.3	1706	76.6	4381	0.9	12.7	7	289	47.4	17.1	172.9	39.8	3.3	3.3	1.3	98	10.2	0.7	0	4.3	9.6	269	61.9	5.1	5.1	2	1	0.02	0.02	365.6	84.1	6.9	6.9	2.7	642	105	43	6.1	15	2.5	7.1	38.7	5.4	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Dec-10	21.6	7.4	27	16.7	3533	61	2.71	0.66
CJ_0104	659	yes	9.227318	-79.39170205	0-10 cm	09-Nov-17	CerroJefe	transect	0.63	0.14	4.9	3.87	5.1	4.1	15.98044999	3.78	0.22	63.7364119	177.1513042	18.98105735	9.3	1.312483751	0.03400217	20.32754327	1.34648592	0.133392695	1032.8	143.9	335.8	17.7	28.2	11.8	0.4	0.5	3.1	33.7	9.8	23.8	17.2	593.2	34.4	1586.5	20.1	1529.9	76.2	4091.5	1	14.3	7	233.1	43.3	16.6	170.1	35.9	2	2.9	1.5	85.2	8.8	0.9	0	4.7	9.7	328	69.3	3.8	5.5	2.9	0.69	0.01	0.02	449.8	94.9	5.3	7.6	4	518	96	41	5.4	12.5	2.3	6.3	32.3	5.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Dec-10	22	7.4	27.4	17.1	3538	62	2.69	0.66
CJ_0105	660	yes	9.227322	-79.39261207	0-10 cm	09-Nov-17	CerroJefe	transect	0.63	0.08	4.89	3.85	5.04	4.08	19.28144319	4.61	0.26	68.5821425	169.149702	15.95428701	10.6	2.209218136	0.516838136	18.68034328	2.726056272	0.061080756	1030.8	123.4	1111.1	17.7	31.7	8.4	0	0.7	2.4	39.3	10.2	29.1	17.6	672.3	38.1	1582.9	20.6	1733.9	84.3	4082.1	0.9	18.4	5	314	55.9	16.6	144.5	33	2	1.2	1.6	74.7	11.9	0.4	0.3	4.4	6.3	207	47.2	2.8	1.8	2.3	1.58	0.01	0.01	313.4	71.5	4.2	2.7	3.5	698	124	41	5.6	16.8	3	6.5	43.5	6.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	21-Dec-10	22	7.4	27.4	17.1	3538	62	2.69	0.66
P25_0202	664	yes	9.07852	-79.7989	0-10 cm	29-Nov-17	P25	plot	0.69	0.04	4.45	3.63	4.66	3.94	9.616	2.96	0.19	60.017	398.523	27.1	14.7	0.9	0.7	28.7	1.6	0.115	1066.8	47.2	155.7	18.2	97.2	5.3	1.6	0.5	0.3	30.3	12.9	17.5	15.2	493.5	32.4	1695.8	17.8	1272.6	71.6	4373.1	1.1	13.8	8	181.7	32.3	18.1	110.9	18.2	2.2	2	2.1	59.1	7.4	0.4	0	6.1	7.9	274	45	5.3	4.9	5.1	1.08	0.02	0.02	374.3	61.3	7.3	6.7	6.9	404	72	45	5.6	8.9	1.6	6.6	23	3.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	03-Aug-09	26.5	7	31.7	22.1	2380	59	1.66	0.74
P25_0204	665	yes	9.07852	-79.7989	0-10 cm	29-Nov-17	P25	plot	0.7	0.46	4.59	3.7	4.47	3.99	10.058	3.16	0.22	79.31	380.773	26.8	14.2	1.2	2.4	30.4	3.6	0.159	1069.2	24.7	119.1	22.2	72	31.9	1.9	1.8	0.2	36.2	14.6	21.7	14.6	398.4	27.3	1459.4	17	1027.4	60.5	3763.5	0.8	13.4	6	191.5	41.3	21.4	86.1	15.2	3.5	2.2	2.1	46.4	6.2	0.2	0.2	5.7	7.4	202	35.7	8.1	5.2	5	1.58	0.04	0.03	272.4	48	11	7	6.8	426	92	54	4.6	7.9	1.7	5.4	20.5	3.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	03-Aug-09	26.5	7	31.7	22.1	2380	59	1.66	0.74
P25_0303	667	yes	9.07852	-79.7989	0-10 cm	29-Nov-17	P25	plot	0.69	0.28	4.57	3.66	4.25	3.71	11.46	3.97	0.26	78.697	410.523	28.1	14.6	1.5	2.2	31.8	3.6	0.157	1043.9	36.6	242.2	181.4	78.6	21.3	2.3	1.7	0.3	39.7	14.8	24.9	15.4	504.1	32.6	1593.2	18	1300	72.2	4108.7	1.3	14.3	9	237.2	39.5	25	127.4	20.5	2	4	2	52.8	7.6	0.4	0.3	6.2	7	242	38.8	3.8	7.5	3.8	0.5	0.02	0.03	321.2	51.6	5	10	5.1	527	88	62	6	8.4	1.4	7	21.8	3.1	1.5	1.8	0.03	22.1	55.8	32	0.6	0.7	0.8	03-Aug-09	26.5	7	31.7	22.1	2380	59	1.66	0.74
P25_0402	669	yes	9.07852	-79.7989	0-10 cm	29-Nov-17	P25	plot	0.65	0.3	4.55	3.58	4.94	4.14	14.561	2.97	0.22	78.745	361.023	29	12.5	1.8	0.8	31.6	2.6	0.181	1073.1	29.1	114.3	24.4	137.1	61	2.2	1.2	0.1	43.4	17	26.4	13.8	377.2	27.4	1126.2	16.1	972.7	60.5	2904.2	1.3	14.1	9	209.7	46.7	23.1	83.1	13.5	2.8	2.9	2.3	45.3	6	0.7	0.1	6.2	7.5	178	28.9	5.9	6.2	4.9	0.96	0.03	0.03	279.6	45.4	9.3	9.7	7.6	466	104	58	4.5	8.1	1.8	5.2	20.8	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	03-Aug-09	26.5	7	31.7	22.1	2380	59	1.66	0.74
P25_0404	670	yes	9.07852	-79.7989	0-10 cm	29-Nov-17	P25	plot	0.66	0.28	4.24	3.46	4.57	3.85	10.557	3.79	0.26	83.381	354.273	27.9	12.7	3.5	1.7	33.2	5.2	0.132	957	34.1	252.9	26.4	113	9.4	2.3	3	0.2	42.3	16.9	25.4	14.8	454	30.6	1491.5	17.3	1170.8	67.7	3846.3	1.2	13.2	9	164.2	32.4	23	110.4	18.1	2.1	3.9	2.2	52.4	6.9	0.9	0.2	6.1	7.5	303	49.5	5.7	10.6	6	0.54	0.02	0.04	291.7	47.8	5.5	10.2	5.8	365	72	58	5.1	6.3	1.3	5.9	16.3	2.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	03-Aug-09	26.5	7	31.7	22.1	2380	59	1.66	0.74
P26_0202	677	yes	9.07646	-79.7869	0-10 cm	29-Nov-17	P26	plot	0.65	0.26	4.4	3.51	4.5	3.8	10.91531978	3.79	0.27	79.26612128	325.89	20.51544317	15.9	0.981784459	1.602772371	23.1	2.58455683	0.098	1352.9	52	149.2	34.7	65.9	2.2	1.5	0.9	0.5	37.9	17.1	20.8	14	478.2	34.1	1820.5	16.3	1233.2	75.5	4694.8	0.9	16.7	5	200.2	35.6	14.5	131.5	24.9	3	4.4	1.4	60.2	7.2	0	0.4	5.3	8.3	296	56	6.8	9.9	3.2	0.68	0.02	0.03	346.9	65.7	8	11.7	3.7	445	79	36	5.6	12.3	2.2	6.6	31.7	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	26-Aug-09	26.5	7.1	31.7	22.2	2368	59	1.64	0.74
P26_0204	678	yes	9.07646	-79.7869	0-10 cm	29-Nov-17	P26	plot	0.7	0.71	4.65	3.73	4.6	3.8	11.98831907	4.32	0.3	94.01198695	323.89	21.10133284	15.3	0.658064608	0.815602552	22.575	1.47366716	0.151	1352.8	81.8	116.6	28.6	51.2	2.3	1.5	0.6	1	53.4	16.4	37.1	14.3	459.7	32.2	1166.1	16.7	1185.5	71.1	3007.1	0.9	16.6	5	223.7	33.5	15.5	119.5	23.3	2.4	2.1	2.2	57.1	8.1	0.1	0.4	5.1	7.1	240	46.9	4.8	4.2	4.4	1.13	0.02	0.02	276.5	53.9	5.5	4.9	5.1	497	74	39	6.7	12.8	1.9	7.8	33	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	26-Aug-09	26.5	7.1	31.7	22.2	2368	59	1.64	0.74
P26_0303	680	yes	9.07646	-79.7869	0-10 cm	29-Nov-17	P26	plot	0.68	0.15	4.53	3.77	4.5	3.8	11.86001738	4.03	0.28	99.341077	286.14	19.0806601	15	0.441707945	0.655131959	20.1775	1.096839903	0.206	1270	57	154.2	18.1	64.8	3.7	1.4	0.7	0.5	48.5	25.6	22.9	14.2	405.3	28.6	1758.2	16.5	1045.3	63.3	4534.3	0.9	15.8	5	222.2	32.1	13.6	108.2	18.9	4.2	5.4	1.7	50.8	5.8	0.2	0.3	5.7	8.7	219	38.3	8.5	11	3.4	0.78	0.04	0.05	268.7	46.9	10.5	13.4	4.2	494	71	34	6.9	14.6	2.1	8.1	37.6	4.7	2.6	3.1	0.01	21.3	94.9	55.9	0.2	0.7	0.5	26-Aug-09	26.5	7.1	31.7	22.2	2368	59	1.64	0.74
P26_0402	682	yes	9.07646	-79.7869	0-10 cm	29-Nov-17	P26	plot	0.68	0.21	4.52	3.63	4.7	3.8	11.10526405	3.54	0.27	92.65684763	238.14	15.13612269	15.7	0.300560237	0.460817074	15.8975	0.76137731	0.265	1157.3	28.3	176.1	26.2	125.4	1.8	1.5	0.5	0.1	41.5	25.7	15.8	13	382.1	29.5	2235.9	15.1	985.4	65.2	5766	1.2	15.1	8	206.4	34.2	16	132.7	22.9	2.6	4.6	1.6	60.1	7.1	0.1	0.6	5.8	8.4	289	49.9	5.7	10	3.5	0.57	0.02	0.03	374.7	64.7	7.4	13	4.5	459	76	40	6	11.5	1.9	7	29.6	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	26-Aug-09	26.5	7.1	31.7	22.2	2368	59	1.64	0.74
P26_0404	683	yes	9.07646	-79.7869	0-10 cm	29-Nov-17	P26	plot	0.67	0.12	4.71	3.79	4.6	3.8	10.64409551	3.44	0.27	96.67276516	335.64	24.96743075	13.4	0.694832996	0.737736254	26.4	1.432569251	0.167	1329.8	23.1	122.4	19.4	38.9	1.8	1.3	0.6	0.4	48.3	25.8	22.6	12.6	356.2	28.4	1525.5	14.6	918.6	62.8	3934.1	0.5	15.9	3	177.2	31	14.2	115.6	20.8	2.2	2.6	1.6	53.8	6.8	0	0.4	5.6	7.9	294	52.8	5.6	6.5	4.1	0.86	0.02	0.02	335.6	60.3	6.4	7.4	4.7	394	69	36	5.7	11.1	1.9	6.7	28.5	4.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	26-Aug-09	26.5	7.1	31.7	22.2	2368	59	1.64	0.74
PP1_0202	690	yes	8.942767	-79.60234	0-10 cm	30-Nov-17	PanamaPacifico	plot	0.67	0.66	8.05	7.3	6.39	5.9	20.87	5.3	0.44	977.82	61.39	7.13	8.6	0.85	3.84	11.82	4.69	2.29	661	3359.5	64.3	107	455.7	226.9	3.6	2.6	4.5	427.6	63.9	363.6	NA	NA	NA		NA	NA	NA		20.8	29.3	71	1078	99	42.84	15.04	2.6	6.56	4.52	4.79	NA	NA	17.94	1.32	5.8	#DIV/0!	6	1.1	2.7	1.9	2	1.45	0.44	0.3	28.4	4.9	12.4	8.5	9	2395.6	219.6	107.1	10.9	22.4	2.1	12.7	57.7	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	10-Dec-14	26.5	7.8	32.1	21.9	1979	63	1.31	0.63
PP1_0204	691	yes	8.942767	-79.60234	0-10 cm	30-Nov-17	PanamaPacifico	plot	0.73	1.28	6.42	5.62	6.27	5.78	16.43	3.6	0.31	837.22	58.07	7.27	8	0.42	2.37	10.06	2.79	2.02	724.9	2019.4	71.7	55	262.5	254.1	2.3	0.7	4.7	427.7	168.6	259.1	NA	NA	NA		NA	NA	NA		12.4	21.8	57	565	53	24.55	9.12	1.7	2.88	2.4	3.68	NA	NA	4.9	0.59	5.4	#DIV/0!	7	1.4	2.3	1.9	2.9	1.2	0.32	0.26	25.3	4.7	8	6.7	10.2	1255	117.7	61.4	10.7	20.5	1.9	12.4	52.7	4.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	10-Dec-14	26.5	7.8	32.1	21.9	1979	63	1.31	0.63
PP1_0303	693	yes	8.942767	-79.60234	0-10 cm	30-Nov-17	PanamaPacifico	plot	0.71	1.37	6.41	5.58	6.85	6.43	16.56	2.81	0.24	751.72	62.62	6.53	9.6	0.16	1.38	8.07	1.54	2.01	598.9	2000.1	51.3	152.6	237.4	109.2	2.3	1.1	5.1	211.3	55.9	155.5	NA	NA	NA		NA	NA	NA		12.3	19.7	63	236	NA	7.63	4.61	0.99	2.84	2.1	1.41	NA	NA	4.41	0.45	4.7	#DIV/0!	9	1.9	5.4	4	2.7	1.35	0.62	0.46	16.4	3.5	10.1	7.5	5	523.9	0	19.1	NA	27.5	0	NA	70.8	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	10-Dec-14	26.5	7.8	32.1	21.9	1979	63	1.31	0.63
PP1_0402	695	yes	8.942767	-79.60234	0-10 cm	30-Nov-17	PanamaPacifico	plot	0.71	2.01	6.77	5.84	6.55	6.09	16.7	3.55	0.3	853.28	46.76	6.36	7.4	0.77	2.68	9.81	3.45	1.97	596.2	2691.7	125.2	34.1	501.8	347	2	1.8	3.3	286.5	41.4	245.1	NA	NA	NA		NA	NA	NA		17.6	26.2	67	540	54	23.5	6.63	1.58	2.06	1.75	3.57	NA	NA	8.41	0.93	4.2	#DIV/0!	6	1.3	1.7	1.5	3	1.18	0.31	0.26	18.7	4.5	5.8	4.9	10.1	1199.4	119.7	58.8	10	20.4	2	11.7	52.6	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	10-Dec-14	26.5	7.8	32.1	21.9	1979	63	1.31	0.63
PP1_0404	696	yes	8.942767	-79.60234	0-10 cm	30-Nov-17	PanamaPacifico	plot	0.66	2.04	6.99	5.87	6.62	6.1	16.39	3.35	0.28	760.8	37.12	4.62	8	0.28	1.76	6.66	2.05	2.79	641.5	2173.6	108	30	240.5	263.6	2	2.8	5.5	304.8	47.6	257.3	NA	NA	NA		NA	NA	NA		12.9	21.6	60	546	39	12.37	4.79	0.92	1.39	1.07	2.07	NA	NA	4.56	0.57	5.2	#DIV/0!	4	0.8	1.1	0.9	1.7	1.3	0.29	0.22	14.3	2.7	4.2	3.2	6.2	1212.4	86.5	30.9	14	39.2	2.8	16.3	101.1	6.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	10-Dec-14	26.5	7.8	32.1	21.9	1979	63	1.31	0.63
P19_0202	726	yes	9.19917	-79.7741	0-10 cm	06-Dec-17	P19	plot	0.57	0.25	5.71	4.98	4.75	4.31	8.62	4.44	0.4	232	579	62.4	9.3	2.7	4.1	69.3	6.8	1.2	854.4	151.5	52.1	39.6	81.1	159.7	1.8	1.1	1.1	103	27.4	75.6	11.2	191.5	17.1	587.3	13.1	493.8	37.7	1514.5	1.5	11.9	13	438.3	101.5	22.6	73.3	14.8	3.1	2.7	6.6	43.7	5.7	0.1	0	5	7.7	75	15.2	3.2	2.8	6.7	1.14	0.04	0.04	165.1	33.3	7	6.2	14.8	974	225	57	4.3	17.2	4	5	44.5	8.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	01-Jun-09	25.9	6.9	31	21.5	2666	58	1.91	0.65
P19_0204	727	yes	9.19917	-79.7741	0-10 cm	06-Dec-17	P19	plot	0.62	0.18	4.86	3.96	4.78	4.22	17	3.62	0.29	198.59	558	49.4	11.3	0.7	0.9	51	1.6	0.3	822.8	21.5	41.3	17.5	29.5	39.4	1.2	0.5	0.4	59	20.8	38.2	12.5	182.5	14.6	947.8	14.6	470.6	32.2	2444.1	0.4	9.9	4	373.4	84	13.1	106.5	25	2.5	4	5.4	67.9	10.3	0.1	0	4.3	6.6	128	30.2	3	4.8	6.5	0.63	0.02	0.04	293.9	69.1	7	11	14.9	830	187	33	4.4	25.3	5.7	5.2	65.2	12.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	01-Jun-09	25.9	6.9	31	21.5	2666	58	1.91	0.65
P19_0303	729	yes	9.19917	-79.7741	0-10 cm	06-Dec-17	P19	plot	0.6	0.14	5.09	4.13	4.68	4.13	14.07	4.28	0.34	186.42	627	61.2	10.3	3.3	1.3	65.8	4.6	0.53	684	162.6	112.5	51.8	101	155.7	1.7	2.1	1	62.4	20	42.4	12.6	229.7	18.2	1009.8	14.7	592.4	40.3	2604.1	1.8	10.6	17	480.9	101.6	20.1	108.6	22.7	2.7	3.9	4.9	64.6	8.7	0.2	0	4.8	7.4	102	21.3	2.5	3.7	4.6	0.68	0.02	0.04	253.7	53.1	6.2	9.2	11.5	1069	226	50	4.7	21.3	4.5	5.5	55	10	2.1	3.9	2.28	21.2	79.5	70	41.5	0.7	0.5	01-Jun-09	25.9	6.9	31	21.5	2666	58	1.91	0.65
P19_0402	731	yes	9.19917	-79.7741	0-10 cm	06-Dec-17	P19	plot	0.6	0.14	4.91	4.03	5.03	4.33	16.12	2.7	0.23	206.96	387	37.3	10.4	0.8	0.1	38.2	0.9	0.36	673.2	386	104.7	21.3	185.1	229.1	1.4	1.6	1.3	60.5	19.6	40.9	11.7	130.3	11.1	659.5	13.6	336	24.6	1700.7	3.5	12.4	28	282.2	67.7	5	71.9	16.3	1.8	2	4.2	41.1	7.4	0.2	0	4.4	5.6	115	26	2.8	3.2	6.7	0.87	0.02	0.03	266.6	60.5	6.5	7.5	15.5	627	151	12	4.2	50.4	12.1	4.9	130	26.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	01-Jun-09	25.9	6.9	31	21.5	2666	58	1.91	0.65
P19_0404	732	yes	9.19917	-79.7741	0-10 cm	06-Dec-17	P19	plot	0.61	0.12	4.91	4.04	5.13	4.52	13.77	4	0.34	283.37	400	38.7	10.3	1.2	1.8	41.7	3	0.59	666.4	590.9	102.7	36.4	240.7	229.7	1.6	1.2	1.5	92.7	25.9	66.8	11.8	141.2	12	599.3	13.7	364.2	26.5	1545.6	5	13.8	36	446.1	102.1	16.3	84.3	16.7	3.2	3.7	6.5	49.2	8	0.5	0	5.1	6.1	85	16.8	3.2	3.8	6.5	0.86	0.04	0.04	210.8	41.6	8	9.3	16.2	991	227	41	4.4	24.4	5.6	5.1	62.8	12.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	01-Jun-09	25.9	6.9	31	21.5	2666	58	1.91	0.65
P20_0202	739	yes	9.19028	-79.7643	0-10 cm	06-Dec-17	P20	plot	0.59	0.86	5.01	4.29	4.86	3.91	16.8689465	3.64	0.33	318.5320101	494.1948375	55.21578076	9	0.841	2.2885	58.34528076	3.1295	0.541	770.2	165.6	71.1	83.1	131.5	132.2	1	1.3	0.8	106.8	29.3	77.5	11.1	114.1	10.3	469.4	12.9	294.4	22.8	1210.6	2.1	11.6	18	517.1	98.3	5.6	64.1	13.5	3	1.8	5.6	34	5	0.3	0.3	4.8	6.8	56	11.7	2.6	1.5	4.9	1.66	0.05	0.03	176.2	37	8.1	4.9	15.5	1149	218	14	5.3	81.6	15.5	6.1	210.4	34.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	22-Jun-09	26.1	6.9	31.2	21.8	2632	58	1.87	0.65
P20_0204	740	yes	9.19028	-79.7643	0-10 cm	06-Dec-17	P20	plot	0.64	0.27	4.87	3.93	5.01	4.23	16.18283743	3.2	0.3	286.5769728	526.5957447	56.55325508	9.3	0.8295	1.082	58.46475508	1.9115	0.469	712.4	120	90.6	48.4	163.1	187.9	0.9	1.1	0.4	83.7	27.1	56.6	10.7	111.7	10.4	565	12.5	287.9	23.1	1457	2.1	11.2	18	255.7	59.8	3.8	59.8	13.6	1.8	1.7	4.2	30.3	5.1	0.2	0.2	4.4	5.9	105	23.9	3.2	3.1	7.4	1.05	0.03	0.03	186.8	42.4	5.7	5.4	13.1	568	133	10	4.3	59.4	13.9	5	153.1	30.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	22-Jun-09	26.1	6.9	31.2	21.8	2632	58	1.87	0.65
P20_0303	742	yes	9.19028	-79.7643	0-10 cm	06-Dec-17	P20	plot	0.67	0.23	4.76	3.88	4.95	4.22	19.17933814	4.78	0.41	353.8740983	449.9135976	45.19099881	10	2.34	2.242	49.77299881	4.582	0.928	576.3	468.8	76.9	73.3	247.6	117.7	1.3	1.3	1.1	115.8	32.1	83.7	11.8	135	11.5	570.6	13.8	348.2	25.3	1471.5	4.6	11.8	39	466.1	97.1	21.4	100.1	22.7	4.3	5.7	5.7	59.2	7.9	0.2	0.3	4.4	7.5	97	22	4.2	5.5	5.5	0.75	0.04	0.06	209.4	47.6	9	12	12	1036	216	53	4.8	19.4	4	5.6	50	8.9	3.4	5.4	2.51	34.7	125.4	96.6	45.6	1.1	0.5	22-Jun-09	26.1	6.9	31.2	21.8	2632	58	1.87	0.65
P20_0402	744	yes	9.19028	-79.7643	0-10 cm	06-Dec-17	P20	plot	0.63	0.6	4.64	3.84	5.04	4.13	16.72154889	3.48	0.3	292.3917728	504.9951399	51.90360573	9.7	1.6595	1.5265	55.08960573	3.186	0.588	561.4	512.2	99.1	68.4	146.9	182.3	0.8	4.9	2.1	87.8	30.6	57.3	11.5	119.2	10.3	608.5	13.5	307.3	22.8	1569.4	3.9	11.4	35	274.4	65.5	8.9	77.1	15.3	2.4	2.7	4.4	42.5	6.1	0.4	0.3	5	7	127	25.1	4	4.4	7.2	0.91	0.03	0.03	221.4	44	6.9	7.6	12.6	610	145	22	4.2	27.4	6.5	4.9	70.7	14.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	22-Jun-09	26.1	6.9	31.2	21.8	2632	58	1.87	0.65
P20_0404	745	yes	9.19028	-79.7643	0-10 cm	06-Dec-17	P20	plot	0.66	0.36	4.61	3.86	5.14	4.6	18.13027744	4.76	0.41	323.2534896	469.3541419	48.66919355	9.6	2.108	0.997	51.77419355	3.105	0.784	540.6	601.8	95	93.3	272.8	164.1	1.4	2.4	1.3	133.1	37.7	95.4	11.5	147.2	12.8	498.6	13.4	379.5	28.3	1285.7	5.5	12.6	44	436.1	97.6	15.6	90.4	17.5	3.5	5.1	6.4	52.7	6.9	1.2	0.4	5.2	7.6	93	18.1	3.6	5.2	6.6	0.69	0.04	0.06	190.1	36.8	7.4	10.6	13.5	969	217	39	4.5	24.9	5.6	5.2	64.2	12.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	22-Jun-09	26.1	6.9	31.2	21.8	2632	58	1.87	0.65
B6_0101	754	yes	9.152997	-79.849651	0-10 cm	11-Dec-17	B6	plot	0.6	9.94	6.63	5.91	6.24	5.36	18.08071017	3.76	0.38	626.2537626	280.4516064	29.23837996	9.6	2.761760772	2.257941652	34.25808238	5.019702424	1.523963508	4197.2	1014.3	340.4	56.6	172.6	162.9	8.5	1.9	3.6	NA	NA	NA	10	60.1	6		11.7	154.9	13.3		6.6	55.7	12	311	71.2	19	29	5	4.2	4.2	3.5	15.9	1.7	1.2	0.1	5.8	9.3	42	7.3	6.1	6.1	5.1	1	0.15	0.15	77.2	13.4	11.2	11.2	9.3	691	158	48	4.4	14.5	3.3	5.1	37.4	7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B6_0103	755	yes	9.152997	-79.849651	0-10 cm	11-Dec-17	B6	plot	0.56	4.2	6.33	5.27	5.8	4.85	22.46232439	5.58	0.47	678.605364	219.5906205	22.8719024	9.6	3.067083718	2.55964527	28.49863139	5.626728987	1.532994554	4138.1	1145.8	562.5	33.4	182.4	94.8	7	2.7	3.8	NA	NA	NA	11.8	82.2	7		13.8	211.9	15.4		7.3	56.7	13	472.2	99.9	41.6	46.2	5.8	4.1	4.8	4.7	27.9	2.2	1.4	0.2	8	12.4	44	5.5	3.9	4.6	4.5	0.85	0.09	0.1	82.9	10.4	7.3	8.6	8.4	1049	222	104	4.7	10.1	2.1	5.5	26	4.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
B6_0105	756	yes	9.152997	-79.849651	0-10 cm	11-Dec-17	B6	plot	0.61	0.2	5.71	4.99	6.49	5.61	18.97272851	4.41	0.42	758.6354053	164.6871102	19.05123852	8.6	3.154733155	2.731913962	24.93788564	5.886647117	1.581894956	4649.6	1410.3	423.4	102.5	311.2	213.5	6.7	3.6	2.7	NA	NA	NA	10.5	58.1	5.5		12.3	149.8	12.2		9.9	64.6	15	360	79.8	21.4	25.1	4.1	4.2	3.7	4.4	13	1.5	2.7	0.2	6.2	8.4	31	5.1	5.3	4.6	5.5	1.14	0.17	0.15	57	9.3	9.6	8.4	10	800	177	53	4.5	15	3.3	5.3	38.6	7.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	20-Oct-10	25.9	6.8	30.8	21.6	2635	57	1.87	0.54
